"Description","masalpha","yr","stratum","pop","se_pop"
"Northern pintail","nopi",1981,6,62253.00,8090.00
"Ring-Necked Duck","rndu",1981,6,0.00,0.00
"Scaup","scau",1981,6,32479.00,5769.00
"American wigeon","amwi",1981,8,31777.00,13038.00
"Northern pintail","nopi",1981,8,55771.00,14837.00
"Ring-Necked Duck","rndu",1981,8,433.00,416.00
"Scaup","scau",1981,8,67186.00,22210.00
"American wigeon","amwi",1981,9,87889.00,14576.00
"Northern pintail","nopi",1981,9,501856.00,78709.00
"Ring-Necked Duck","rndu",1981,9,0.00,0.00
"Scaup","scau",1981,9,198552.00,36457.00
"American wigeon","amwi",1981,10,18984.00,17039.00
"Northern pintail","nopi",1981,10,283796.00,190895.00
"Ring-Necked Duck","rndu",1981,10,0.00,0.00
"Scaup","scau",1981,10,41729.00,20307.00
"American wigeon","amwi",1981,11,55569.00,15377.00
"Northern pintail","nopi",1981,11,99222.00,20417.00
"Ring-Necked Duck","rndu",1981,11,0.00,0.00
"Scaup","scau",1981,11,52139.00,11087.00
"American wigeon","amwi",1981,12,90116.00,20135.00
"Northern pintail","nopi",1981,12,61933.00,28267.00
"Ring-Necked Duck","rndu",1981,12,0.00,0.00
"Scaup","scau",1981,12,98305.00,32967.00
"American wigeon","amwi",1981,13,86891.00,23532.00
"Northern pintail","nopi",1981,13,25554.00,8276.00
"Ring-Necked Duck","rndu",1981,13,3310.00,1192.00
"Scaup","scau",1981,13,144989.00,56028.00
"American wigeon","amwi",1981,14,290679.00,73852.00
"Northern pintail","nopi",1981,14,103133.00,46963.00
"Ring-Necked Duck","rndu",1981,14,0.00,0.00
"Scaup","scau",1981,14,1074907.00,205857.00
"American wigeon","amwi",1981,15,69686.00,20309.00
"Northern pintail","nopi",1981,15,24885.00,31069.00
"Ring-Necked Duck","rndu",1981,15,15043.00,11374.00
"Scaup","scau",1981,15,349469.00,66959.00
"American wigeon","amwi",1981,16,72244.00,23551.00
"Northern pintail","nopi",1981,16,22811.00,10626.00
"Ring-Necked Duck","rndu",1981,16,0.00,0.00
"Scaup","scau",1981,16,395870.00,212623.00
"American wigeon","amwi",1981,17,140108.00,25987.00
"Northern pintail","nopi",1981,17,48280.00,7997.00
"Ring-Necked Duck","rndu",1981,17,12160.00,3107.00
"Scaup","scau",1981,17,438351.00,117473.00
"American wigeon","amwi",1981,18,140424.00,83163.00
"Northern pintail","nopi",1981,18,42817.00,21910.00
"Ring-Necked Duck","rndu",1981,18,3498.00,2691.00
"Scaup","scau",1981,18,334992.00,78835.00
"American wigeon","amwi",1981,20,27570.00,9636.00
"Northern pintail","nopi",1981,20,24590.00,10354.00
"Ring-Necked Duck","rndu",1981,20,2284.00,1214.00
"Scaup","scau",1981,20,55864.00,22969.00
"American wigeon","amwi",1981,21,38869.00,11215.00
"Northern pintail","nopi",1981,21,4833.00,2483.00
"Ring-Necked Duck","rndu",1981,21,76942.00,21761.00
"Scaup","scau",1981,21,66150.00,14954.00
"American wigeon","amwi",1981,22,61204.00,16411.00
"Northern pintail","nopi",1981,22,4541.00,2520.00
"Ring-Necked Duck","rndu",1981,22,87441.00,29775.00
"Scaup","scau",1981,22,122778.00,15584.00
"American wigeon","amwi",1981,23,103216.00,23400.00
"Northern pintail","nopi",1981,23,15402.00,8639.00
"Ring-Necked Duck","rndu",1981,23,114816.00,34044.00
"Scaup","scau",1981,23,55734.00,7462.00
"American wigeon","amwi",1981,24,109943.00,25754.00
"Northern pintail","nopi",1981,24,16809.00,9845.00
"Ring-Necked Duck","rndu",1981,24,166031.00,42480.00
"Scaup","scau",1981,24,159397.00,36560.00
"American wigeon","amwi",1981,25,69198.00,16818.00
"Northern pintail","nopi",1981,25,12566.00,4683.00
"Ring-Necked Duck","rndu",1981,25,28912.00,8038.00
"Scaup","scau",1981,25,134156.00,17144.00
"American wigeon","amwi",1981,26,85053.00,26536.00
"Northern pintail","nopi",1981,26,271389.00,50970.00
"Ring-Necked Duck","rndu",1981,26,21719.00,8926.00
"Scaup","scau",1981,26,347062.00,78444.00
"American wigeon","amwi",1981,27,24716.00,8031.00
"Northern pintail","nopi",1981,27,83429.00,15882.00
"Ring-Necked Duck","rndu",1981,27,0.00,0.00
"Scaup","scau",1981,27,25728.00,19938.00
"American wigeon","amwi",1981,28,29762.00,13977.00
"Northern pintail","nopi",1981,28,153817.00,40905.00
"Ring-Necked Duck","rndu",1981,28,7807.00,4108.00
"Scaup","scau",1981,28,56143.00,15148.00
"American wigeon","amwi",1981,29,40279.00,21627.00
"Northern pintail","nopi",1981,29,148707.00,48816.00
"Ring-Necked Duck","rndu",1981,29,0.00,0.00
"Scaup","scau",1981,29,40402.00,24655.00
"American wigeon","amwi",1981,30,59515.00,7821.00
"Northern pintail","nopi",1981,30,112866.00,16142.00
"Ring-Necked Duck","rndu",1981,30,9372.00,3294.00
"Scaup","scau",1981,30,105193.00,48578.00
"American wigeon","amwi",1981,31,43443.00,10605.00
"Northern pintail","nopi",1981,31,113857.00,29948.00
"Ring-Necked Duck","rndu",1981,31,8480.00,4336.00
"Scaup","scau",1981,31,47370.00,24082.00
"American wigeon","amwi",1981,32,58148.00,10833.00
"Northern pintail","nopi",1981,32,175482.00,29093.00
"Ring-Necked Duck","rndu",1981,32,5650.00,3125.00
"Scaup","scau",1981,32,56277.00,22878.00
"American wigeon","amwi",1981,33,8500.00,2701.00
"Northern pintail","nopi",1981,33,44746.00,11080.00
"Ring-Necked Duck","rndu",1981,33,0.00,0.00
"Scaup","scau",1981,33,29336.00,25817.00
"American wigeon","amwi",1981,34,28053.00,4329.00
"Northern pintail","nopi",1981,34,59446.00,15386.00
"Ring-Necked Duck","rndu",1981,34,8091.00,3939.00
"Scaup","scau",1981,34,22840.00,14317.00
"American wigeon","amwi",1981,35,14036.00,2896.00
"Northern pintail","nopi",1981,35,19786.00,5439.00
"Ring-Necked Duck","rndu",1981,35,9401.00,8384.00
"Scaup","scau",1981,35,16128.00,14942.00
"American wigeon","amwi",1981,36,4596.00,3571.00
"Northern pintail","nopi",1981,36,360.00,337.00
"Ring-Necked Duck","rndu",1981,36,7606.00,4039.00
"Scaup","scau",1981,36,13919.00,8827.00
"American wigeon","amwi",1981,37,13278.00,3721.00
"Northern pintail","nopi",1981,37,20796.00,10217.00
"Ring-Necked Duck","rndu",1981,37,14599.00,5497.00
"Scaup","scau",1981,37,46025.00,29470.00
"American wigeon","amwi",1981,38,0.00,0.00
"Northern pintail","nopi",1981,38,2807.00,720.00
"Ring-Necked Duck","rndu",1981,38,807.00,613.00
"Scaup","scau",1981,38,0.00,0.00
"American wigeon","amwi",1981,39,5536.00,1400.00
"Northern pintail","nopi",1981,39,19614.00,6449.00
"Ring-Necked Duck","rndu",1981,39,18488.00,9066.00
"Scaup","scau",1981,39,24857.00,16396.00
"American wigeon","amwi",1981,40,11334.00,2755.00
"Northern pintail","nopi",1981,40,15437.00,3600.00
"Ring-Necked Duck","rndu",1981,40,17344.00,7958.00
"Scaup","scau",1981,40,30129.00,22070.00
"American wigeon","amwi",1981,41,27015.00,6685.00
"Northern pintail","nopi",1981,41,112856.00,61923.00
"Ring-Necked Duck","rndu",1981,41,890.00,504.00
"Scaup","scau",1981,41,27549.00,13550.00
"American wigeon","amwi",1981,42,38213.00,18500.00
"Northern pintail","nopi",1981,42,44445.00,26894.00
"Ring-Necked Duck","rndu",1981,42,0.00,0.00
"Scaup","scau",1981,42,8274.00,3654.00
"American wigeon","amwi",1981,43,3723.00,2634.00
"Northern pintail","nopi",1981,43,23734.00,12280.00
"Ring-Necked Duck","rndu",1981,43,0.00,0.00
"Scaup","scau",1981,43,678.00,585.00
"American wigeon","amwi",1981,44,8326.00,5453.00
"Northern pintail","nopi",1981,44,26541.00,13703.00
"Ring-Necked Duck","rndu",1981,44,0.00,0.00
"Scaup","scau",1981,44,2401.00,2064.00
"American wigeon","amwi",1981,45,88810.00,20867.00
"Northern pintail","nopi",1981,45,87151.00,23157.00
"Ring-Necked Duck","rndu",1981,45,0.00,0.00
"Scaup","scau",1981,45,99040.00,56999.00
"American wigeon","amwi",1981,46,26622.00,7431.00
"Northern pintail","nopi",1981,46,22840.00,8092.00
"Ring-Necked Duck","rndu",1981,46,0.00,0.00
"Scaup","scau",1981,46,7383.00,3518.00
"American wigeon","amwi",1981,47,0.00,0.00
"Northern pintail","nopi",1981,47,1491.00,1444.00
"Ring-Necked Duck","rndu",1981,47,0.00,0.00
"Scaup","scau",1981,47,435.00,467.00
"American wigeon","amwi",1981,48,22749.00,6741.00
"Northern pintail","nopi",1981,48,16569.00,4798.00
"Ring-Necked Duck","rndu",1981,48,266.00,266.00
"Scaup","scau",1981,48,12294.00,7993.00
"American wigeon","amwi",1981,49,28908.00,13261.00
"Northern pintail","nopi",1981,49,9925.00,3799.00
"Ring-Necked Duck","rndu",1981,49,2523.00,2039.00
"Scaup","scau",1981,49,4397.00,3099.00
"American wigeon","amwi",1981,75,41617.42,32620.72
"Northern pintail","nopi",1981,75,15279.82,9391.09
"Ring-Necked Duck","rndu",1981,75,23092.07,12511.71
"Scaup","scau",1981,75,221981.15,109032.57
"American wigeon","amwi",1981,76,40607.26,24014.90
"Northern pintail","nopi",1981,76,16524.08,4360.63
"Ring-Necked Duck","rndu",1981,76,2628.68,2058.38
"Scaup","scau",1981,76,53158.90,27101.57
"American wigeon","amwi",1981,77,88418.74,23936.93
"Northern pintail","nopi",1981,77,22443.49,10115.33
"Ring-Necked Duck","rndu",1981,77,58297.20,24539.42
"Scaup","scau",1981,77,234275.12,79152.58
"American wigeon","amwi",1982,1,804.00,396.00
"Northern pintail","nopi",1982,1,4703.00,3987.00
"Ring-Necked Duck","rndu",1982,1,0.00,0.00
"Scaup","scau",1982,1,2204.00,1074.00
"American wigeon","amwi",1982,2,7674.00,2549.00
"Northern pintail","nopi",1982,2,5281.00,2701.00
"Ring-Necked Duck","rndu",1982,2,1207.00,614.00
"Scaup","scau",1982,2,62008.00,14915.00
"American wigeon","amwi",1982,3,74924.00,20093.00
"Northern pintail","nopi",1982,3,49258.00,10263.00
"Ring-Necked Duck","rndu",1982,3,1134.00,788.00
"Scaup","scau",1982,3,69028.00,22817.00
"American wigeon","amwi",1982,4,167737.00,26974.00
"Northern pintail","nopi",1982,4,208460.00,43691.00
"Ring-Necked Duck","rndu",1982,4,1087.00,1137.00
"Scaup","scau",1982,4,223476.00,49602.00
"American wigeon","amwi",1982,5,14684.00,2380.00
"Northern pintail","nopi",1982,5,45085.00,7060.00
"Ring-Necked Duck","rndu",1982,5,0.00,0.00
"Scaup","scau",1982,5,8584.00,1747.00
"American wigeon","amwi",1982,6,41203.00,13543.00
"Northern pintail","nopi",1982,6,42018.00,11758.00
"Ring-Necked Duck","rndu",1982,6,0.00,0.00
"Scaup","scau",1982,6,25853.00,6663.00
"American wigeon","amwi",1982,8,15682.00,6541.00
"Northern pintail","nopi",1982,8,37400.00,8455.00
"Ring-Necked Duck","rndu",1982,8,0.00,0.00
"Scaup","scau",1982,8,66770.00,19996.00
"American wigeon","amwi",1982,9,43944.00,13180.00
"Northern pintail","nopi",1982,9,219581.00,42220.00
"Ring-Necked Duck","rndu",1982,9,0.00,0.00
"Scaup","scau",1982,9,193015.00,35988.00
"American wigeon","amwi",1982,10,7383.00,5740.00
"Northern pintail","nopi",1982,10,84678.00,48643.00
"Ring-Necked Duck","rndu",1982,10,0.00,0.00
"Scaup","scau",1982,10,37210.00,24280.00
"American wigeon","amwi",1982,11,44883.00,13120.00
"Northern pintail","nopi",1982,11,73397.00,18381.00
"Ring-Necked Duck","rndu",1982,11,0.00,0.00
"Scaup","scau",1982,11,54724.00,9236.00
"American wigeon","amwi",1982,12,42167.00,22367.00
"Northern pintail","nopi",1982,12,13698.00,2226.00
"Ring-Necked Duck","rndu",1982,12,0.00,0.00
"Scaup","scau",1982,12,102071.00,33183.00
"American wigeon","amwi",1982,13,41742.00,10142.00
"Northern pintail","nopi",1982,13,10952.00,3133.00
"Ring-Necked Duck","rndu",1982,13,3310.00,1489.00
"Scaup","scau",1982,13,72337.00,28266.00
"American wigeon","amwi",1982,14,161488.00,41669.00
"Northern pintail","nopi",1982,14,11162.00,6493.00
"Ring-Necked Duck","rndu",1982,14,5060.00,4384.00
"Scaup","scau",1982,14,826999.00,197469.00
"American wigeon","amwi",1982,15,29036.00,21979.00
"Northern pintail","nopi",1982,15,17420.00,16802.00
"Ring-Necked Duck","rndu",1982,15,3761.00,4683.00
"Scaup","scau",1982,15,233694.00,47665.00
"American wigeon","amwi",1982,16,22814.00,20963.00
"Northern pintail","nopi",1982,16,9776.00,5676.00
"Ring-Necked Duck","rndu",1982,16,0.00,0.00
"Scaup","scau",1982,16,175474.00,87241.00
"American wigeon","amwi",1982,17,112665.00,35383.00
"Northern pintail","nopi",1982,17,18569.00,4544.00
"Ring-Necked Duck","rndu",1982,17,11225.00,3801.00
"Scaup","scau",1982,17,433552.00,113484.00
"American wigeon","amwi",1982,18,81014.00,23724.00
"Northern pintail","nopi",1982,18,2314.00,2408.00
"Ring-Necked Duck","rndu",1982,18,13991.00,10765.00
"Scaup","scau",1982,18,418740.00,126357.00
"American wigeon","amwi",1982,20,15388.00,5583.00
"Northern pintail","nopi",1982,20,6045.00,3005.00
"Ring-Necked Duck","rndu",1982,20,1038.00,314.00
"Scaup","scau",1982,20,31601.00,14057.00
"American wigeon","amwi",1982,21,26418.00,8457.00
"Northern pintail","nopi",1982,21,1945.00,1011.00
"Ring-Necked Duck","rndu",1982,21,41487.00,10909.00
"Scaup","scau",1982,21,57514.00,13358.00
"American wigeon","amwi",1982,22,61475.00,24058.00
"Northern pintail","nopi",1982,22,11333.00,7915.00
"Ring-Necked Duck","rndu",1982,22,67920.00,14892.00
"Scaup","scau",1982,22,230109.00,63547.00
"American wigeon","amwi",1982,23,54911.00,17299.00
"Northern pintail","nopi",1982,23,1348.00,1337.00
"Ring-Necked Duck","rndu",1982,23,52743.00,17706.00
"Scaup","scau",1982,23,108039.00,54888.00
"American wigeon","amwi",1982,24,90117.00,15706.00
"Northern pintail","nopi",1982,24,1681.00,1056.00
"Ring-Necked Duck","rndu",1982,24,121130.00,32051.00
"Scaup","scau",1982,24,63634.00,17437.00
"American wigeon","amwi",1982,25,31938.00,10371.00
"Northern pintail","nopi",1982,25,3413.00,1553.00
"Ring-Necked Duck","rndu",1982,25,18889.00,5041.00
"Scaup","scau",1982,25,39613.00,7098.00
"American wigeon","amwi",1982,26,105841.00,28173.00
"Northern pintail","nopi",1982,26,167272.00,33079.00
"Ring-Necked Duck","rndu",1982,26,22398.00,5886.00
"Scaup","scau",1982,26,371401.00,139506.00
"American wigeon","amwi",1982,27,17993.00,5914.00
"Northern pintail","nopi",1982,27,75689.00,16644.00
"Ring-Necked Duck","rndu",1982,27,0.00,0.00
"Scaup","scau",1982,27,38709.00,30817.00
"American wigeon","amwi",1982,28,30299.00,12117.00
"Northern pintail","nopi",1982,28,118251.00,23624.00
"Ring-Necked Duck","rndu",1982,28,1301.00,678.00
"Scaup","scau",1982,28,65133.00,39052.00
"American wigeon","amwi",1982,29,45832.00,27891.00
"Northern pintail","nopi",1982,29,215610.00,67586.00
"Ring-Necked Duck","rndu",1982,29,0.00,0.00
"Scaup","scau",1982,29,46834.00,26297.00
"American wigeon","amwi",1982,30,75272.00,35134.00
"Northern pintail","nopi",1982,30,65626.00,10557.00
"Ring-Necked Duck","rndu",1982,30,4686.00,3362.00
"Scaup","scau",1982,30,92308.00,50174.00
"American wigeon","amwi",1982,31,69357.00,28176.00
"Northern pintail","nopi",1982,31,94311.00,39949.00
"Ring-Necked Duck","rndu",1982,31,16961.00,5723.00
"Scaup","scau",1982,31,94028.00,29051.00
"American wigeon","amwi",1982,32,317057.00,96340.00
"Northern pintail","nopi",1982,32,618187.00,111738.00
"Ring-Necked Duck","rndu",1982,32,27570.00,9032.00
"Scaup","scau",1982,32,207687.00,62727.00
"American wigeon","amwi",1982,33,55635.00,21462.00
"Northern pintail","nopi",1982,33,154357.00,70515.00
"Ring-Necked Duck","rndu",1982,33,5583.00,3778.00
"Scaup","scau",1982,33,28440.00,18490.00
"American wigeon","amwi",1982,34,49257.00,11559.00
"Northern pintail","nopi",1982,34,140991.00,32143.00
"Ring-Necked Duck","rndu",1982,34,7802.00,5483.00
"Scaup","scau",1982,34,44034.00,17940.00
"American wigeon","amwi",1982,35,27755.00,6056.00
"Northern pintail","nopi",1982,35,148568.00,25816.00
"Ring-Necked Duck","rndu",1982,35,7189.00,6229.00
"Scaup","scau",1982,35,30098.00,23759.00
"American wigeon","amwi",1982,36,1567.00,1054.00
"Northern pintail","nopi",1982,36,2073.00,1365.00
"Ring-Necked Duck","rndu",1982,36,724.00,677.00
"Scaup","scau",1982,36,5769.00,2003.00
"American wigeon","amwi",1982,37,10527.00,3222.00
"Northern pintail","nopi",1982,37,22978.00,6212.00
"Ring-Necked Duck","rndu",1982,37,8272.00,6463.00
"Scaup","scau",1982,37,49353.00,20376.00
"American wigeon","amwi",1982,38,0.00,0.00
"Northern pintail","nopi",1982,38,15008.00,5440.00
"Ring-Necked Duck","rndu",1982,38,0.00,0.00
"Scaup","scau",1982,38,3642.00,2217.00
"American wigeon","amwi",1982,39,8808.00,1966.00
"Northern pintail","nopi",1982,39,45182.00,10206.00
"Ring-Necked Duck","rndu",1982,39,15788.00,8973.00
"Scaup","scau",1982,39,40372.00,14518.00
"American wigeon","amwi",1982,40,14112.00,4498.00
"Northern pintail","nopi",1982,40,21855.00,6895.00
"Ring-Necked Duck","rndu",1982,40,3883.00,2031.00
"Scaup","scau",1982,40,30516.00,11962.00
"American wigeon","amwi",1982,41,72342.00,19418.00
"Northern pintail","nopi",1982,41,270418.00,106868.00
"Ring-Necked Duck","rndu",1982,41,445.00,444.00
"Scaup","scau",1982,41,38128.00,15998.00
"American wigeon","amwi",1982,42,17079.00,4496.00
"Northern pintail","nopi",1982,42,36480.00,13625.00
"Ring-Necked Duck","rndu",1982,42,1905.00,915.00
"Scaup","scau",1982,42,22841.00,13932.00
"American wigeon","amwi",1982,43,20310.00,6051.00
"Northern pintail","nopi",1982,43,100502.00,28490.00
"Ring-Necked Duck","rndu",1982,43,5005.00,2692.00
"Scaup","scau",1982,43,13791.00,8197.00
"American wigeon","amwi",1982,44,25361.00,17710.00
"Northern pintail","nopi",1982,44,58618.00,27092.00
"Ring-Necked Duck","rndu",1982,44,2153.00,910.00
"Scaup","scau",1982,44,8490.00,6377.00
"American wigeon","amwi",1982,45,10898.00,4584.00
"Northern pintail","nopi",1982,45,173759.00,35516.00
"Ring-Necked Duck","rndu",1982,45,4090.00,2001.00
"Scaup","scau",1982,45,73881.00,38588.00
"American wigeon","amwi",1982,46,8130.00,2936.00
"Northern pintail","nopi",1982,46,91936.00,15714.00
"Ring-Necked Duck","rndu",1982,46,2515.00,1786.00
"Scaup","scau",1982,46,16233.00,7467.00
"American wigeon","amwi",1982,47,2173.00,1750.00
"Northern pintail","nopi",1982,47,3173.00,3437.00
"Ring-Necked Duck","rndu",1982,47,0.00,0.00
"Scaup","scau",1982,47,0.00,0.00
"American wigeon","amwi",1982,48,11627.00,4516.00
"Northern pintail","nopi",1982,48,130380.00,37647.00
"Ring-Necked Duck","rndu",1982,48,2127.00,1166.00
"Scaup","scau",1982,48,15190.00,8297.00
"American wigeon","amwi",1982,49,3664.00,1892.00
"Northern pintail","nopi",1982,49,15210.00,5879.00
"Ring-Necked Duck","rndu",1982,49,2838.00,2129.00
"Scaup","scau",1982,49,19981.00,13068.00
"American wigeon","amwi",1982,75,35672.08,22232.31
"Northern pintail","nopi",1982,75,5093.27,3970.27
"Ring-Necked Duck","rndu",1982,75,8659.52,6780.81
"Scaup","scau",1982,75,144150.72,61067.38
"American wigeon","amwi",1982,76,69032.35,23512.39
"Northern pintail","nopi",1982,76,3478.75,822.38
"Ring-Necked Duck","rndu",1982,76,0.00,0.00
"Scaup","scau",1982,76,69630.67,39950.09
"American wigeon","amwi",1982,77,125161.63,48887.12
"Northern pintail","nopi",1982,77,27493.28,16612.24
"Ring-Necked Duck","rndu",1982,77,22852.50,10944.28
"Scaup","scau",1982,77,324265.75,85093.53
"American wigeon","amwi",1983,1,3216.00,1161.00
"Northern pintail","nopi",1983,1,2766.00,1304.00
"Ring-Necked Duck","rndu",1983,1,0.00,0.00
"Scaup","scau",1983,1,1102.00,371.00
"American wigeon","amwi",1983,2,7674.00,2780.00
"Northern pintail","nopi",1983,2,4150.00,1633.00
"Ring-Necked Duck","rndu",1983,2,1207.00,661.00
"Scaup","scau",1983,2,23765.00,2864.00
"American wigeon","amwi",1983,3,57158.00,15127.00
"Northern pintail","nopi",1983,3,49966.00,17116.00
"Ring-Necked Duck","rndu",1983,3,284.00,293.00
"Scaup","scau",1983,3,90455.00,33213.00
"American wigeon","amwi",1983,4,166257.00,31351.00
"Northern pintail","nopi",1983,4,205744.00,39090.00
"Ring-Necked Duck","rndu",1983,4,1087.00,1020.00
"Scaup","scau",1983,4,303623.00,46675.00
"American wigeon","amwi",1983,5,34451.00,9835.00
"Northern pintail","nopi",1983,5,43919.00,5833.00
"Ring-Necked Duck","rndu",1983,5,0.00,0.00
"Scaup","scau",1983,5,20686.00,5411.00
"American wigeon","amwi",1983,6,44949.00,12722.00
"Northern pintail","nopi",1983,6,43693.00,9068.00
"Ring-Necked Duck","rndu",1983,6,413.00,267.00
"Scaup","scau",1983,6,33693.00,6337.00
"American wigeon","amwi",1983,8,19809.00,7449.00
"Northern pintail","nopi",1983,8,34119.00,6299.00
"Ring-Necked Duck","rndu",1983,8,0.00,0.00
"Scaup","scau",1983,8,73011.00,20339.00
"American wigeon","amwi",1983,9,75333.00,15687.00
"Northern pintail","nopi",1983,9,299429.00,39194.00
"Ring-Necked Duck","rndu",1983,9,0.00,0.00
"Scaup","scau",1983,9,271723.00,33249.00
"American wigeon","amwi",1983,10,13710.00,13468.00
"Northern pintail","nopi",1983,10,134562.00,65215.00
"Ring-Necked Duck","rndu",1983,10,0.00,0.00
"Scaup","scau",1983,10,33489.00,20944.00
"American wigeon","amwi",1983,11,62408.00,11632.00
"Northern pintail","nopi",1983,11,70679.00,13140.00
"Ring-Necked Duck","rndu",1983,11,0.00,0.00
"Scaup","scau",1983,11,41366.00,7356.00
"American wigeon","amwi",1983,12,69032.00,20284.00
"Northern pintail","nopi",1983,12,31768.00,9639.00
"Ring-Necked Duck","rndu",1983,12,0.00,0.00
"Scaup","scau",1983,12,91023.00,40451.00
"American wigeon","amwi",1983,13,44298.00,16196.00
"Northern pintail","nopi",1983,13,13507.00,7812.00
"Ring-Necked Duck","rndu",1983,13,0.00,0.00
"Scaup","scau",1983,13,72337.00,32885.00
"American wigeon","amwi",1983,14,199883.00,45288.00
"Northern pintail","nopi",1983,14,92600.00,29476.00
"Ring-Necked Duck","rndu",1983,14,0.00,0.00
"Scaup","scau",1983,14,875579.00,138548.00
"American wigeon","amwi",1983,15,23229.00,17583.00
"Northern pintail","nopi",1983,15,44793.00,14130.00
"Ring-Necked Duck","rndu",1983,15,7521.00,5687.00
"Scaup","scau",1983,15,432012.00,93233.00
"American wigeon","amwi",1983,16,15209.00,18661.00
"Northern pintail","nopi",1983,16,71693.00,46408.00
"Ring-Necked Duck","rndu",1983,16,0.00,0.00
"Scaup","scau",1983,16,256895.00,126315.00
"American wigeon","amwi",1983,17,86665.00,25045.00
"Northern pintail","nopi",1983,17,50756.00,22025.00
"Ring-Necked Duck","rndu",1983,17,19644.00,7743.00
"Scaup","scau",1983,17,442084.00,84878.00
"American wigeon","amwi",1983,18,70212.00,31444.00
"Northern pintail","nopi",1983,18,11572.00,8860.00
"Ring-Necked Duck","rndu",1983,18,3498.00,4384.00
"Scaup","scau",1983,18,397803.00,109285.00
"American wigeon","amwi",1983,20,17311.00,6345.00
"Northern pintail","nopi",1983,20,74046.00,14354.00
"Ring-Necked Duck","rndu",1983,20,2907.00,1594.00
"Scaup","scau",1983,20,51722.00,9735.00
"American wigeon","amwi",1983,21,38005.00,12435.00
"Northern pintail","nopi",1983,21,771.00,759.00
"Ring-Necked Duck","rndu",1983,21,60313.00,14250.00
"Scaup","scau",1983,21,350328.00,109938.00
"American wigeon","amwi",1983,22,48685.00,16265.00
"Northern pintail","nopi",1983,22,649.00,654.00
"Ring-Necked Duck","rndu",1983,22,37072.00,9541.00
"Scaup","scau",1983,22,146130.00,47171.00
"American wigeon","amwi",1983,23,52424.00,18695.00
"Northern pintail","nopi",1983,23,0.00,0.00
"Ring-Necked Duck","rndu",1983,23,57241.00,15113.00
"Scaup","scau",1983,23,86542.00,49582.00
"American wigeon","amwi",1983,24,139815.00,33877.00
"Northern pintail","nopi",1983,24,13774.00,9342.00
"Ring-Necked Duck","rndu",1983,24,129493.00,35229.00
"Scaup","scau",1983,24,155411.00,52588.00
"American wigeon","amwi",1983,25,17965.00,3981.00
"Northern pintail","nopi",1983,25,8998.00,3241.00
"Ring-Necked Duck","rndu",1983,25,17540.00,8245.00
"Scaup","scau",1983,25,65869.00,6952.00
"American wigeon","amwi",1983,26,96264.00,28613.00
"Northern pintail","nopi",1983,26,147492.00,44790.00
"Ring-Necked Duck","rndu",1983,26,11878.00,5351.00
"Scaup","scau",1983,26,427558.00,105515.00
"American wigeon","amwi",1983,27,21584.00,6733.00
"Northern pintail","nopi",1983,27,71092.00,33093.00
"Ring-Necked Duck","rndu",1983,27,277.00,273.00
"Scaup","scau",1983,27,27135.00,12949.00
"American wigeon","amwi",1983,28,31845.00,12583.00
"Northern pintail","nopi",1983,28,96362.00,26692.00
"Ring-Necked Duck","rndu",1983,28,0.00,0.00
"Scaup","scau",1983,28,27207.00,13220.00
"American wigeon","amwi",1983,29,21180.00,5780.00
"Northern pintail","nopi",1983,29,65868.00,14644.00
"Ring-Necked Duck","rndu",1983,29,527.00,314.00
"Scaup","scau",1983,29,10043.00,4871.00
"American wigeon","amwi",1983,30,139390.00,45762.00
"Northern pintail","nopi",1983,30,114726.00,26541.00
"Ring-Necked Duck","rndu",1983,30,1172.00,1172.00
"Scaup","scau",1983,30,355239.00,162745.00
"American wigeon","amwi",1983,31,98401.00,41879.00
"Northern pintail","nopi",1983,31,135698.00,46181.00
"Ring-Necked Duck","rndu",1983,31,1497.00,1028.00
"Scaup","scau",1983,31,138583.00,46451.00
"American wigeon","amwi",1983,32,341763.00,114321.00
"Northern pintail","nopi",1983,32,489710.00,80863.00
"Ring-Necked Duck","rndu",1983,32,5198.00,2305.00
"Scaup","scau",1983,32,216831.00,50126.00
"American wigeon","amwi",1983,33,24203.00,9825.00
"Northern pintail","nopi",1983,33,56791.00,15147.00
"Ring-Necked Duck","rndu",1983,33,0.00,0.00
"Scaup","scau",1983,33,40101.00,16709.00
"American wigeon","amwi",1983,34,42944.00,15648.00
"Northern pintail","nopi",1983,34,115282.00,24844.00
"Ring-Necked Duck","rndu",1983,34,8091.00,4030.00
"Scaup","scau",1983,34,57292.00,21467.00
"American wigeon","amwi",1983,35,28322.00,8877.00
"Northern pintail","nopi",1983,35,117145.00,19151.00
"Ring-Necked Duck","rndu",1983,35,5807.00,3330.00
"Scaup","scau",1983,35,36763.00,27281.00
"American wigeon","amwi",1983,36,3637.00,1231.00
"Northern pintail","nopi",1983,36,6313.00,3341.00
"Ring-Necked Duck","rndu",1983,36,5070.00,4741.00
"Scaup","scau",1983,36,16275.00,9374.00
"American wigeon","amwi",1983,37,8796.00,4112.00
"Northern pintail","nopi",1983,37,25682.00,7512.00
"Ring-Necked Duck","rndu",1983,37,13625.00,3859.00
"Scaup","scau",1983,37,61769.00,26022.00
"American wigeon","amwi",1983,38,0.00,0.00
"Northern pintail","nopi",1983,38,6250.00,1564.00
"Ring-Necked Duck","rndu",1983,38,0.00,0.00
